h,carrier_core_anchor,speed_m_s,core_power_length_m,carrier_power_length_m,carrier_over_core,relative_to_reference_ratio,status
0.0,1.0,1.0,0.001,0.001,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.0590652925671507,0.0009442288469070895,0.0009442288469070895,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.1216192939203442,0.000891568115331492,0.000891568115331492,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.1878680656647103,0.0008418443334785816,0.0008418443334785816,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.2580298404943717,0.0007948937042757484,0.0007948937042757484,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.3323357410813774,0.000750561565801995,0.000750561565801995,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.4110305414260205,0.0007087018818099973,0.0007087018818099973,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.4943734731765332,0.0006691767606623382,0.0006691767606623382,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.5826390795742942,0.0006318560010972209,0.0006318560010972209,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.6761181198375557,0.0005966166633273537,0.0005966166633273537,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.7751185269628633,0.0005633426640591424,0.0005633426640591424,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.8799664220992942,0.000531924394098132,0.000531924394098132,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,1.9910071888370084,0.0005022583572810313,0.0005022583572810313,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,2.1086066109489665,0.0004742468295449172,0.0004742468295449172,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
0.0,1.0,2.233152077333695,0.0004477975370105402,0.0004477975370105402,1.0,1.0,bare powers only; phase and profile prefactors uncomputed
